SG_UF,CO_MACRORREGIONAL,NO_MACRORREGIONAL,CO_CIR,NO_CIR_PADRAO,CO_MUNICIPIO_IBGE,NO_MUNICIPIO,POP2021,,obs
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120001,ACRELANDIA,15.721,,
AC,1.201,MACRO UNICA - AC,12.001,ALTO ACRE,120005,ASSIS BRASIL,7.649,,
AC,1.201,MACRO UNICA - AC,12.001,ALTO ACRE,120010,BRASILEIA,27.123,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120013,BUJARI,10.572,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120017,CAPIXABA,12.280,,
AC,1.201,MACRO UNICA - AC,12.003,JURUA E TARAUACA/ENVIRA,120020,CRUZEIRO DO SUL,89.760,,
AC,1.201,MACRO UNICA - AC,12.001,ALTO ACRE,120025,EPITACIOLANDIA,18.979,,
AC,1.201,MACRO UNICA - AC,12.003,JURUA E TARAUACA/ENVIRA,120030,FEIJO,34.986,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120032,JORDAO,8.628,,
AC,1.201,MACRO UNICA - AC,12.003,JURUA E TARAUACA/ENVIRA,120033,MANCIO LIMA,19.643,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120034,MANOEL URBANO,9.701,,
AC,1.201,MACRO UNICA - AC,12.003,JURUA E TARAUACA/ENVIRA,120035,MARECHAL THAUMATURGO,19.727,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120038,PLACIDO DE CASTRO,20.147,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120080,PORTO ACRE,19.141,,
AC,1.201,MACRO UNICA - AC,12.003,JURUA E TARAUACA/ENVIRA,120039,PORTO WALTER,12.497,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120040,RIO BRANCO,419.452,,
AC,1.201,MACRO UNICA - AC,12.003,JURUA E TARAUACA/ENVIRA,120042,RODRIGUES ALVES,19.767,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120043,SANTA ROSA DO PURUS,6.893,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120050,SENA MADUREIRA,47.168,,
